"";"Accuracy";"Kappa";"AccuracyLower";"AccuracyUpper";"AccuracyNull";"AccuracyPValue";"McnemarPValue";"Sensitivity";"Specificity";"Pos Pred Value";"Neg Pred Value";"Precision";"Recall";"F1";"Prevalence";"Detection Rate";"Detection Prevalence";"Balanced Accuracy"
"svmRadial";0,625;0;0,405936384007944;0,812007071803998;0,625;0,589844664946385;0,00766076113517949;0;1;NA;0,625;NA;0;NA;0,375;0;0;0,5
"svmPoly";0,708333333333333;0,363636363636364;0,489052186142167;0,873847911476309;0,625;0,267614341637454;1;0,555555555555556;0,8;0,625;0,75;0,625;0,555555555555556;0,588235294117647;0,375;0,208333333333333;0,333333333333333;0,677777777777778
"svmLinear";0,666666666666667;0,219512195121951;0,446780384340352;0,843697714290865;0,625;0,423532240012743;0,288844366346485;0,333333333333333;0,866666666666667;0,6;0,68421052631579;0,6;0,333333333333333;0,428571428571429;0,375;0,125;0,208333333333333;0,6
"voomDLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"voomDQDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"voomNSC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLDA2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"sparseLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rpart";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"cforest";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rf";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AdaBag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"treebag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bagFDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gamboost";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstSm";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstTree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gpls";0,75;0,48936170212766;0,532887197577331;0,902269590525467;0,625;0,145325793892128;0,683091398309609;0,777777777777778;0,733333333333333;0,636363636363636;0,846153846153846;0,636363636363636;0,777777777777778;0,7;0,375;0,291666666666667;0,458333333333333;0,755555555555556
"pls";0,791666666666667;0,565217391304348;0,578487156362747;0,928681382801945;0,625;0,0660646981312692;1;0,777777777777778;0,8;0,7;0,857142857142857;0,7;0,777777777777778;0,736842105263158;0,375;0,291666666666667;0,416666666666667;0,788888888888889
"spls";0,875;0,739130434782609;0,676388641811167;0,973440685013751;0,625;0,0069665126955409;1;0,888888888888889;0,866666666666667;0,8;0,928571428571428;0,8;0,888888888888889;0,842105263157895;0,375;0,333333333333333;0,416666666666667;0,877777777777778
