"";"Accuracy";"Kappa";"AccuracyLower";"AccuracyUpper";"AccuracyNull";"AccuracyPValue";"McnemarPValue";"Sensitivity";"Specificity";"Pos Pred Value";"Neg Pred Value";"Precision";"Recall";"F1";"Prevalence";"Detection Rate";"Detection Prevalence";"Balanced Accuracy"
"svmRadial";0,791666666666667;0,516129032258065;0,578487156362747;0,928681382801945;0,666666666666667;0,138253504128902;1;0,625;0,875;0,714285714285714;0,823529411764706;0,714285714285714;0,625;0,666666666666667;0,333333333333333;0,208333333333333;0,291666666666667;0,75
"svmPoly";0,791666666666667;0,482758620689655;0,578487156362747;0,928681382801945;0,666666666666667;0,138253504128902;0,371093369522698;0,5;0,9375;0,8;0,789473684210526;0,8;0,5;0,615384615384615;0,333333333333333;0,166666666666667;0,208333333333333;0,71875
"svmLinear";0,708333333333333;0,16;0,489052186142167;0,873847911476309;0,666666666666667;0,423804648378383;0,0233422020128909;0,125;1;1;0,695652173913044;1;0,125;0,222222222222222;0,333333333333333;0,0416666666666667;0,0416666666666667;0,5625
"voomDLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"voomDQDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"voomNSC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLDA2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"sparseLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rpart";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"cforest";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rf";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AdaBag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"treebag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bagFDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gamboost";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstSm";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstTree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gpls";0,791666666666667;0,482758620689655;0,578487156362747;0,928681382801945;0,666666666666667;0,138253504128902;0,371093369522698;0,5;0,9375;0,8;0,789473684210526;0,8;0,5;0,615384615384615;0,333333333333333;0,166666666666667;0,208333333333333;0,71875
"pls";0,791666666666667;0,482758620689655;0,578487156362747;0,928681382801945;0,666666666666667;0,138253504128902;0,371093369522698;0,5;0,9375;0,8;0,789473684210526;0,8;0,5;0,615384615384615;0,333333333333333;0,166666666666667;0,208333333333333;0,71875
"spls";0,708333333333333;0,32258064516129;0,489052186142167;0,873847911476309;0,666666666666667;0,423804648378383;1;0,5;0,8125;0,571428571428572;0,764705882352941;0,571428571428571;0,5;0,533333333333333;0,333333333333333;0,166666666666667;0,291666666666667;0,65625
