"";"Accuracy";"Kappa";"AccuracyLower";"AccuracyUpper";"AccuracyNull";"AccuracyPValue";"McnemarPValue";"Sensitivity";"Specificity";"Pos Pred Value";"Neg Pred Value";"Precision";"Recall";"F1";"Prevalence";"Detection Rate";"Detection Prevalence";"Balanced Accuracy"
"svmRadial";0,833333333333333;0,6;0,626158286511317;0,952646373392743;0,666666666666667;0,0593512142704935;0,617075077451974;0,625;0,9375;0,833333333333333;0,833333333333333;0,833333333333333;0,625;0,714285714285714;0,333333333333333;0,208333333333333;0,25;0,78125
"svmPoly";0,708333333333333;0,222222222222223;0,489052186142167;0,873847911476309;0,666666666666667;0,423804648378383;0,130570018115737;0,25;0,9375;0,666666666666667;0,714285714285714;0,666666666666667;0,25;0,363636363636364;0,333333333333333;0,0833333333333333;0,125;0,59375
"svmLinear";0,666666666666667;0;0,446780384340352;0,843697714290865;0,666666666666667;0,594466074433736;0,0133283287808176;0;1;NA;0,666666666666667;NA;0;NA;0,333333333333333;0;0;0,5
"voomDLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"voomDQDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"voomNSC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLDA2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"sparseLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rpart";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"cforest";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rf";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AdaBag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"treebag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bagFDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gamboost";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstSm";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstTree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gpls";0,791666666666667;0,482758620689655;0,578487156362747;0,928681382801945;0,666666666666667;0,138253504128902;0,371093369522698;0,5;0,9375;0,8;0,789473684210526;0,8;0,5;0,615384615384615;0,333333333333333;0,166666666666667;0,208333333333333;0,71875
"pls";0,833333333333333;0,6;0,626158286511317;0,952646373392743;0,666666666666667;0,0593512142704935;0,617075077451974;0,625;0,9375;0,833333333333333;0,833333333333333;0,833333333333333;0,625;0,714285714285714;0,333333333333333;0,208333333333333;0,25;0,78125
"spls";0,833333333333333;0,6;0,626158286511317;0,952646373392743;0,666666666666667;0,0593512142704935;0,617075077451974;0,625;0,9375;0,833333333333333;0,833333333333333;0,833333333333333;0,625;0,714285714285714;0,333333333333333;0,208333333333333;0,25;0,78125
