"";"Accuracy";"Kappa";"AccuracyLower";"AccuracyUpper";"AccuracyNull";"AccuracyPValue";"McnemarPValue";"Sensitivity";"Specificity";"Pos Pred Value";"Neg Pred Value";"Precision";"Recall";"F1";"Prevalence";"Detection Rate";"Detection Prevalence";"Balanced Accuracy"
"svmRadial";0,875;0,709677419354839;0,676388641811167;0,973440685013751;0,666666666666667;0,0199000693412889;1;0,75;0,9375;0,857142857142857;0,88235294117647;0,857142857142857;0,75;0,8;0,333333333333333;0,25;0,291666666666667;0,84375
"svmPoly";0,666666666666667;0;0,446780384340352;0,843697714290865;0,666666666666667;0,594466074433736;0,0133283287808176;0;1;NA;0,666666666666667;NA;0;NA;0,333333333333333;0;0;0,5
"svmLinear";0,666666666666667;0;0,446780384340352;0,843697714290865;0,666666666666667;0,594466074433736;0,0133283287808176;0;1;NA;0,666666666666667;NA;0;NA;0,333333333333333;0;0;0,5
"voomDLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"voomDQDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"voomNSC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLDA2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"sparseLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rpart";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"cforest";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rf";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AdaBag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"treebag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bagFDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gamboost";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstSm";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstTree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gpls";0,583333333333333;0;0,366430645656363;0,778903094653321;0,666666666666667;0,859939403853176;0,751829634045849;0,25;0,75;0,333333333333333;0,666666666666667;0,333333333333333;0,25;0,285714285714286;0,333333333333333;0,0833333333333333;0,25;0,5
"pls";0,791666666666667;0,545454545454545;0,578487156362747;0,928681382801945;0,666666666666667;0,138253504128902;1;0,75;0,8125;0,666666666666667;0,866666666666667;0,666666666666667;0,75;0,705882352941177;0,333333333333333;0,25;0,375;0,78125
"spls";0,708333333333333;0,275862068965518;0,489052186142167;0,873847911476309;0,666666666666667;0,423804648378383;0,449691797968891;0,375;0,875;0,6;0,736842105263158;0,6;0,375;0,461538461538462;0,333333333333333;0,125;0,208333333333333;0,625
