"";"Accuracy";"Kappa";"AccuracyLower";"AccuracyUpper";"AccuracyNull";"AccuracyPValue";"McnemarPValue";"Sensitivity";"Specificity";"Pos Pred Value";"Neg Pred Value";"Precision";"Recall";"F1";"Prevalence";"Detection Rate";"Detection Prevalence";"Balanced Accuracy"
"svmRadial";0,75;0,454545454545455;0,532887197577331;0,902269590525467;0,75;0,607412338166295;0,220671361919847;0,833333333333333;0,722222222222222;0,5;0,928571428571429;0,5;0,833333333333333;0,625;0,25;0,208333333333333;0,416666666666667;0,777777777777778
"svmPoly";0,791666666666667;0,523809523809524;0,578487156362747;0,928681382801945;0,75;0,422155201823952;0,371093369522698;0,833333333333333;0,777777777777778;0,555555555555556;0,933333333333333;0,555555555555556;0,833333333333333;0,666666666666667;0,25;0,208333333333333;0,375;0,805555555555556
"svmLinear";0,75;0,142857142857143;0,532887197577331;0,902269590525467;0,75;0,607412338166295;0,220671361919847;0,166666666666667;0,944444444444444;0,5;0,772727272727273;0,5;0,166666666666667;0,25;0,25;0,0416666666666667;0,0833333333333333;0,555555555555556
"voomDLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"voomDQDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"voomNSC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLDA2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"sparseLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rpart";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"cforest";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rf";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AdaBag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"treebag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bagFDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gamboost";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstSm";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstTree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gpls";0,75;0,5;0,532887197577331;0,902269590525467;0,75;0,607412338166295;0,0412268333371636;1;0,666666666666667;0,5;1;0,5;1;0,666666666666667;0,25;0,25;0,5;0,833333333333333
"pls";0,75;0,5;0,532887197577331;0,902269590525467;0,75;0,607412338166295;0,0412268333371636;1;0,666666666666667;0,5;1;0,5;1;0,666666666666667;0,25;0,25;0,5;0,833333333333333
"spls";0,708333333333333;0,391304347826087;0,489052186142167;0,873847911476309;0,75;0,766204169316875;0,130570018115737;0,833333333333333;0,666666666666667;0,454545454545455;0,923076923076923;0,454545454545455;0,833333333333333;0,588235294117647;0,25;0,208333333333333;0,458333333333333;0,75
