"";"Accuracy";"Kappa";"AccuracyLower";"AccuracyUpper";"AccuracyNull";"AccuracyPValue";"McnemarPValue";"Sensitivity";"Specificity";"Pos Pred Value";"Neg Pred Value";"Precision";"Recall";"F1";"Prevalence";"Detection Rate";"Detection Prevalence";"Balanced Accuracy"
"svmRadial";0,285714285714286;-0,4;0,0366925661760856;0,709579136262657;0,571428571428571;0,972558809922493;1;0,333333333333333;0,25;0,25;0,333333333333333;0,25;0,333333333333333;0,285714285714286;0,428571428571429;0,142857142857143;0,571428571428571;0,291666666666667
"svmPoly";0,285714285714286;-0,4;0,0366925661760856;0,709579136262657;0,571428571428571;0,972558809922493;1;0,333333333333333;0,25;0,25;0,333333333333333;0,25;0,333333333333333;0,285714285714286;0,428571428571429;0,142857142857143;0,571428571428571;0,291666666666667
"svmLinear";0,285714285714286;-0,4;0,0366925661760856;0,709579136262657;0,571428571428571;0,972558809922493;1;0,333333333333333;0,25;0,25;0,333333333333333;0,25;0,333333333333333;0,285714285714286;0,428571428571429;0,142857142857143;0,571428571428571;0,291666666666667
"voomDLDA";0,428571428571429;-0,0769230769230769;0,0989882784425079;0,815948432359917;0,571428571428571;0,873416445771502;0,617075077451974;0,666666666666667;0,25;0,4;0,5;0,4;0,666666666666667;0,5;0,428571428571429;0,285714285714286;0,714285714285714;0,458333333333333
"voomDQDA";0,285714285714286;-0,296296296296296;0,0366925661760856;0,709579136262657;0,571428571428571;0,972558809922493;0,371093369522698;0,666666666666667;0;0,333333333333333;0;0,333333333333333;0,666666666666667;0,444444444444444;0,428571428571429;0,285714285714286;0,857142857142857;0,333333333333333
"voomNSC";0,285714285714286;-0,4;0,0366925661760856;0,709579136262657;0,571428571428571;0,972558809922493;1;0,333333333333333;0,25;0,25;0,333333333333333;0,25;0,333333333333333;0,285714285714286;0,428571428571429;0,142857142857143;0,571428571428571;0,291666666666667
"PLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLDA2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"sparseLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rpart";0,571428571428571;0;0,184051567640083;0,901011721557492;0,571428571428571;0,653100080991521;0,248213078989924;0;1;NA;0,571428571428571;NA;0;NA;0,428571428571429;0;0;0,5
"cforest";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rf";0,285714285714286;-0,521739130434783;0,0366925661760856;0,709579136262657;0,571428571428571;0,972558809922493;1;0;0,5;0;0,4;0;0;NA;0,428571428571429;0;0,285714285714286;0,25
"AdaBag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"treebag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bagFDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gamboost";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstSm";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstTree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gpls";0,285714285714286;-0,4;0,0366925661760856;0,709579136262657;0,571428571428571;0,972558809922493;1;0,333333333333333;0,25;0,25;0,333333333333333;0,25;0,333333333333333;0,285714285714286;0,428571428571429;0,142857142857143;0,571428571428571;0,291666666666667
"pls";0,285714285714286;-0,4;0,0366925661760856;0,709579136262657;0,571428571428571;0,972558809922493;1;0,333333333333333;0,25;0,25;0,333333333333333;0,25;0,333333333333333;0,285714285714286;0,428571428571429;0,142857142857143;0,571428571428571;0,291666666666667
"spls";0,571428571428571;0,0869565217391303;0,184051567640083;0,901011721557492;0,571428571428571;0,653100080991521;1;0,333333333333333;0,75;0,5;0,6;0,5;0,333333333333333;0,4;0,428571428571429;0,142857142857143;0,285714285714286;0,541666666666667
