"";"Accuracy";"Kappa";"AccuracyLower";"AccuracyUpper";"AccuracyNull";"AccuracyPValue";"McnemarPValue";"Sensitivity";"Specificity";"Pos Pred Value";"Neg Pred Value";"Precision";"Recall";"F1";"Prevalence";"Detection Rate";"Detection Prevalence";"Balanced Accuracy"
"svmRadial";0,791666666666667;0,523809523809524;0,578487156362747;0,928681382801945;0,625;0,0660646981312692;0,371093369522698;0,555555555555556;0,933333333333333;0,833333333333333;0,777777777777778;0,833333333333333;0,555555555555556;0,666666666666667;0,375;0,208333333333333;0,25;0,744444444444444
"svmPoly";0,75;0,414634146341463;0,532887197577331;0,902269590525467;0,625;0,145325793892128;0,220671361919847;0,444444444444444;0,933333333333333;0,8;0,736842105263158;0,8;0,444444444444444;0,571428571428571;0,375;0,166666666666667;0,208333333333333;0,688888888888889
"svmLinear";0,625;0,142857142857143;0,405936384007944;0,812007071803998;0,625;0,589844664946385;0,504985075093846;0,333333333333333;0,8;0,5;0,666666666666667;0,5;0,333333333333333;0,4;0,375;0,125;0,25;0,566666666666667
"voomDLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"voomDQDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"voomNSC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLDA2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"sparseLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rpart";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"cforest";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rf";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AdaBag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"treebag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bagFDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gamboost";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstSm";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstTree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gpls";0,791666666666667;0,583333333333333;0,578487156362747;0,928681382801945;0,625;0,0660646981312692;0,371093369522698;0,888888888888889;0,733333333333333;0,666666666666667;0,916666666666667;0,666666666666667;0,888888888888889;0,761904761904762;0,375;0,333333333333333;0,5;0,811111111111111
"pls";0,791666666666667;0,583333333333333;0,578487156362747;0,928681382801945;0,625;0,0660646981312692;0,371093369522698;0,888888888888889;0,733333333333333;0,666666666666667;0,916666666666667;0,666666666666667;0,888888888888889;0,761904761904762;0,375;0,333333333333333;0,5;0,811111111111111
"spls";0,833333333333333;0,627906976744186;0,626158286511317;0,952646373392743;0,625;0,0243483319413433;0,617075077451974;0,666666666666667;0,933333333333333;0,857142857142857;0,823529411764706;0,857142857142857;0,666666666666667;0,75;0,375;0,25;0,291666666666667;0,8
