"";"Accuracy";"Kappa";"AccuracyLower";"AccuracyUpper";"AccuracyNull";"AccuracyPValue";"McnemarPValue";"Sensitivity";"Specificity";"Pos Pred Value";"Neg Pred Value";"Precision";"Recall";"F1";"Prevalence";"Detection Rate";"Detection Prevalence";"Balanced Accuracy"
"svmRadial";0,714285714285714;0,461538461538462;0,290420863737343;0,963307433823914;0,714285714285714;0,679229864135813;0,479500122186953;1;0,6;0,5;1;0,5;1;0,666666666666667;0,285714285714286;0,285714285714286;0,571428571428571;0,8
"svmPoly";0,428571428571429;-0,0769230769230769;0,0989882784425079;0,815948432359917;0,714285714285714;0,976724955466806;0,617075077451974;0,5;0,4;0,25;0,666666666666667;0,25;0,5;0,333333333333333;0,285714285714286;0,142857142857143;0,571428571428571;0,45
"svmLinear";0,857142857142857;0,695652173913043;0,421276802956805;0,996389703138099;0,714285714285714;0,360485123424035;1;1;0,8;0,666666666666667;1;0,666666666666667;1;0,8;0,285714285714286;0,285714285714286;0,428571428571429;0,9
"voomDLDA";0,571428571428571;-0,235294117647059;0,184051567640083;0,901011721557492;0,714285714285714;0,891726357943665;1;0;0,8;0;0,666666666666667;0;0;NA;0,285714285714286;0;0,142857142857143;0,4
"voomDQDA";0,571428571428571;-0,235294117647059;0,184051567640083;0,901011721557492;0,714285714285714;0,891726357943665;1;0;0,8;0;0,666666666666667;0;0;NA;0,285714285714286;0;0,142857142857143;0,4
"voomNSC";0,571428571428571;-0,235294117647059;0,184051567640083;0,901011721557492;0,714285714285714;0,891726357943665;1;0;0,8;0;0,666666666666667;0;0;NA;0,285714285714286;0;0,142857142857143;0,4
"PLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLDA2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"sparseLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rpart";0,285714285714286;0;0,0366925661760856;0,709579136262657;0,714285714285714;0,99712461887236;0,0736382701203028;1;0;0,285714285714286;NA;0,285714285714286;1;0,444444444444444;0,285714285714286;0,285714285714286;1;0,5
"cforest";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rf";0,428571428571429;-0,4;0,0989882784425079;0,815948432359917;0,714285714285714;0,976724955466806;1;0;0,6;0;0,6;0;0;NA;0,285714285714286;0;0,285714285714286;0,3
"AdaBag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"treebag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bagFDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gamboost";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstSm";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstTree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gpls";0,285714285714286;-0,521739130434783;0,0366925661760856;0,709579136262657;0,714285714285714;0,99712461887236;1;0;0,4;0;0,5;0;0;NA;0,285714285714286;0;0,428571428571429;0,2
"pls";0,571428571428571;-0,235294117647059;0,184051567640083;0,901011721557492;0,714285714285714;0,891726357943665;1;0;0,8;0;0,666666666666667;0;0;NA;0,285714285714286;0;0,142857142857143;0,4
"spls";0,285714285714286;-0,521739130434783;0,0366925661760856;0,709579136262657;0,714285714285714;0,99712461887236;1;0;0,4;0;0,5;0;0;NA;0,285714285714286;0;0,428571428571429;0,2
