"";"Accuracy";"Kappa";"AccuracyLower";"AccuracyUpper";"AccuracyNull";"AccuracyPValue";"McnemarPValue";"Sensitivity";"Specificity";"Pos Pred Value";"Neg Pred Value";"Precision";"Recall";"F1";"Prevalence";"Detection Rate";"Detection Prevalence";"Balanced Accuracy"
"svmRadial";0,708333333333333;0,391304347826087;0,489052186142167;0,873847911476309;0,75;0,766204169316875;0,130570018115737;0,833333333333333;0,666666666666667;0,454545454545455;0,923076923076923;0,454545454545455;0,833333333333333;0,588235294117647;0,25;0,208333333333333;0,458333333333333;0,75
"svmPoly";0,791666666666667;0,523809523809524;0,578487156362747;0,928681382801945;0,75;0,422155201823952;0,371093369522698;0,833333333333333;0,777777777777778;0,555555555555556;0,933333333333333;0,555555555555556;0,833333333333333;0,666666666666667;0,25;0,208333333333333;0,375;0,805555555555556
"svmLinear";0,666666666666667;0,111111111111111;0,446780384340352;0,843697714290865;0,75;0,87868171638187;1;0,333333333333333;0,777777777777778;0,333333333333333;0,777777777777778;0,333333333333333;0,333333333333333;0,333333333333333;0,25;0,0833333333333333;0,25;0,555555555555556
"voomDLDA";0,791666666666667;0,523809523809524;0,578487156362747;0,928681382801945;0,75;0,422155201823952;0,371093369522698;0,833333333333333;0,777777777777778;0,555555555555556;0,933333333333333;0,555555555555556;0,833333333333333;0,666666666666667;0,25;0,208333333333333;0,375;0,805555555555556
"voomDQDA";0,791666666666667;0,523809523809524;0,578487156362747;0,928681382801945;0,75;0,422155201823952;0,371093369522698;0,833333333333333;0,777777777777778;0,555555555555556;0,933333333333333;0,555555555555556;0,833333333333333;0,666666666666667;0,25;0,208333333333333;0,375;0,805555555555556
"voomNSC";0,625;0,333333333333333;0,405936384007944;0,812007071803998;0,75;0,94533507760557;0,00766076113517949;1;0,5;0,4;1;0,4;1;0,571428571428572;0,25;0,25;0,625;0,75
"PLDA";0,666666666666667;0,333333333333333;0,446780384340352;0,843697714290865;0,75;0,87868171638187;0,077099871743542;0,833333333333333;0,611111111111111;0,416666666666667;0,916666666666667;0,416666666666667;0,833333333333333;0,555555555555556;0,25;0,208333333333333;0,5;0,722222222222222
"PLDA2";0,666666666666667;0,384615384615385;0,446780384340352;0,843697714290865;0,75;0,87868171638187;0,0133283287808176;1;0,555555555555556;0,428571428571429;1;0,428571428571429;1;0,6;0,25;0,25;0,583333333333333;0,777777777777778
"NBLDA";0,708333333333333;0,391304347826087;0,489052186142167;0,873847911476309;0,75;0,766204169316875;0,130570018115737;0,833333333333333;0,666666666666667;0,454545454545455;0,923076923076923;0,454545454545455;0,833333333333333;0,588235294117647;0,25;0,208333333333333;0,458333333333333;0,75
"sparseLDA";0,75;0;0,532887197577331;0,902269590525467;0,75;0,607412338166295;0,0412268333371636;0;1;NA;0,75;NA;0;NA;0,25;0;0;0,5
"rpart";0,833333333333333;0,6;0,626158286511317;0,952646373392743;0,75;0,246648441078573;0,617075077451974;0,833333333333333;0,833333333333333;0,625;0,9375;0,625;0,833333333333333;0,714285714285714;0,25;0,208333333333333;0,333333333333333;0,833333333333333
"cforest";0,833333333333333;0,636363636363636;0,626158286511317;0,952646373392743;0,75;0,246648441078573;0,133614402537715;1;0,777777777777778;0,6;1;0,6;1;0,75;0,25;0,25;0,416666666666667;0,888888888888889
"ctree";0,583333333333333;0,285714285714286;0,366430645656363;0,778903094653321;0,75;0,97866175821742;0,00442652585791983;1;0,444444444444444;0,375;1;0,375;1;0,545454545454545;0,25;0,25;0,666666666666667;0,722222222222222
"rf";0,791666666666667;0,523809523809524;0,578487156362747;0,928681382801945;0,75;0,422155201823952;0,371093369522698;0,833333333333333;0,777777777777778;0,555555555555556;0,933333333333333;0,555555555555556;0,833333333333333;0,666666666666667;0,25;0,208333333333333;0,375;0,805555555555556
"AdaBag";0,833333333333333;0,6;0,626158286511317;0,952646373392743;0,75;0,246648441078573;0,617075077451974;0,833333333333333;0,833333333333333;0,625;0,9375;0,625;0,833333333333333;0,714285714285714;0,25;0,208333333333333;0,333333333333333;0,833333333333333
"treebag";0,833333333333333;0,6;0,626158286511317;0,952646373392743;0,75;0,246648441078573;0,617075077451974;0,833333333333333;0,833333333333333;0,625;0,9375;0,625;0,833333333333333;0,714285714285714;0,25;0,208333333333333;0,333333333333333;0,833333333333333
"bagFDA";0,833333333333333;0,6;0,626158286511317;0,952646373392743;0,75;0,246648441078573;0,617075077451974;0,833333333333333;0,833333333333333;0,625;0,9375;0,625;0,833333333333333;0,714285714285714;0,25;0,208333333333333;0,333333333333333;0,833333333333333
"gamboost";0,75;0,454545454545455;0,532887197577331;0,902269590525467;0,75;0,607412338166295;0,220671361919847;0,833333333333333;0,722222222222222;0,5;0,928571428571429;0,5;0,833333333333333;0,625;0,25;0,208333333333333;0,416666666666667;0,777777777777778
"bstSm";0,833333333333333;0,6;0,626158286511317;0,952646373392743;0,75;0,246648441078573;0,617075077451974;0,833333333333333;0,833333333333333;0,625;0,9375;0,625;0,833333333333333;0,714285714285714;0,25;0,208333333333333;0,333333333333333;0,833333333333333
"bstTree";0,833333333333333;0,6;0,626158286511317;0,952646373392743;0,75;0,246648441078573;0,617075077451974;0,833333333333333;0,833333333333333;0,625;0,9375;0,625;0,833333333333333;0,714285714285714;0,25;0,208333333333333;0,333333333333333;0,833333333333333
"gpls";0,75;0,454545454545455;0,532887197577331;0,902269590525467;0,75;0,607412338166295;0,220671361919847;0,833333333333333;0,722222222222222;0,5;0,928571428571429;0,5;0,833333333333333;0,625;0,25;0,208333333333333;0,416666666666667;0,777777777777778
"pls";0,791666666666667;0,523809523809524;0,578487156362747;0,928681382801945;0,75;0,422155201823952;0,371093369522698;0,833333333333333;0,777777777777778;0,555555555555556;0,933333333333333;0,555555555555556;0,833333333333333;0,666666666666667;0,25;0,208333333333333;0,375;0,805555555555556
"spls";0,791666666666667;0,565217391304348;0,578487156362747;0,928681382801945;0,75;0,422155201823952;0,0736382701203028;1;0,722222222222222;0,545454545454545;1;0,545454545454545;1;0,705882352941176;0,25;0,25;0,458333333333333;0,861111111111111
