"";"Accuracy";"Kappa";"AccuracyLower";"AccuracyUpper";"AccuracyNull";"AccuracyPValue";"McnemarPValue";"Sensitivity";"Specificity";"Pos Pred Value";"Neg Pred Value";"Precision";"Recall";"F1";"Prevalence";"Detection Rate";"Detection Prevalence";"Balanced Accuracy"
"svmRadial";0,75;0,4375;0,532887197577331;0,902269590525467;0,666666666666667;0,26318212973805;1;0,625;0,8125;0,625;0,8125;0,625;0,625;0,625;0,333333333333333;0,208333333333333;0,333333333333333;0,71875
"svmPoly";0,75;0,4;0,532887197577331;0,902269590525467;0,666666666666667;0,26318212973805;0,683091398309609;0,5;0,875;0,666666666666667;0,777777777777778;0,666666666666667;0,5;0,571428571428572;0,333333333333333;0,166666666666667;0,25;0,6875
"svmLinear";0,708333333333333;0,275862068965518;0,489052186142167;0,873847911476309;0,666666666666667;0,423804648378383;0,449691797968891;0,375;0,875;0,6;0,736842105263158;0,6;0,375;0,461538461538462;0,333333333333333;0,125;0,208333333333333;0,625
"voomDLDA";0,75;0,4375;0,532887197577331;0,902269590525467;0,666666666666667;0,26318212973805;1;0,625;0,8125;0,625;0,8125;0,625;0,625;0,625;0,333333333333333;0,208333333333333;0,333333333333333;0,71875
"voomDQDA";0,791666666666667;0,545454545454545;0,578487156362747;0,928681382801945;0,666666666666667;0,138253504128902;1;0,75;0,8125;0,666666666666667;0,866666666666667;0,666666666666667;0,75;0,705882352941177;0,333333333333333;0,25;0,375;0,78125
"voomNSC";0,75;0,470588235294118;0,532887197577331;0,902269590525467;0,666666666666667;0,26318212973805;0,683091398309609;0,75;0,75;0,6;0,857142857142857;0,6;0,75;0,666666666666667;0,333333333333333;0,25;0,416666666666667;0,75
"PLDA";0,666666666666667;0,2;0,446780384340352;0,843697714290865;0,666666666666667;0,594466074433736;0,723673609831763;0,375;0,8125;0,5;0,722222222222222;0,5;0,375;0,428571428571429;0,333333333333333;0,125;0,25;0,59375
"PLDA2";0,708333333333333;0,363636363636364;0,489052186142167;0,873847911476309;0,666666666666667;0,423804648378383;1;0,625;0,75;0,555555555555555;0,8;0,555555555555556;0,625;0,588235294117647;0,333333333333333;0,208333333333333;0,375;0,6875
"NBLDA";0,708333333333333;0,363636363636364;0,489052186142167;0,873847911476309;0,666666666666667;0,423804648378383;1;0,625;0,75;0,555555555555555;0,8;0,555555555555556;0,625;0,588235294117647;0,333333333333333;0,208333333333333;0,375;0,6875
"sparseLDA";0,666666666666667;0;0,446780384340352;0,843697714290865;0,666666666666667;0,594466074433736;0,0133283287808176;0;1;NA;0,666666666666667;NA;0;NA;0,333333333333333;0;0;0,5
"mlp";0,666666666666667;0;0,446780384340352;0,843697714290865;0,666666666666667;0,594466074433736;0,0133283287808176;0;1;NA;0,666666666666667;NA;0;NA;0,333333333333333;0;0;0,5
"mlpML";0,666666666666667;0;0,446780384340352;0,843697714290865;0,666666666666667;0,594466074433736;0,0133283287808176;0;1;NA;0,666666666666667;NA;0;NA;0,333333333333333;0;0;0,5
"rpart";0,666666666666667;0;0,446780384340352;0,843697714290865;0,666666666666667;0,594466074433736;0,0133283287808176;0;1;NA;0,666666666666667;NA;0;NA;0,333333333333333;0;0;0,5
"cforest";0,666666666666667;0,25;0,446780384340352;0,843697714290865;0,666666666666667;0,594466074433736;1;0,5;0,75;0,5;0,75;0,5;0,5;0,5;0,333333333333333;0,166666666666667;0,333333333333333;0,625
"ctree";0,75;0,470588235294118;0,532887197577331;0,902269590525467;0,666666666666667;0,26318212973805;0,683091398309609;0,75;0,75;0,6;0,857142857142857;0,6;0,75;0,666666666666667;0,333333333333333;0,25;0,416666666666667;0,75
"rf";0,708333333333333;0,32258064516129;0,489052186142167;0,873847911476309;0,666666666666667;0,423804648378383;1;0,5;0,8125;0,571428571428572;0,764705882352941;0,571428571428571;0,5;0,533333333333333;0,333333333333333;0,166666666666667;0,291666666666667;0,65625
"AdaBag";0,708333333333333;0,32258064516129;0,489052186142167;0,873847911476309;0,666666666666667;0,423804648378383;1;0,5;0,8125;0,571428571428572;0,764705882352941;0,571428571428571;0,5;0,533333333333333;0,333333333333333;0,166666666666667;0,291666666666667;0,65625
"treebag";0,708333333333333;0,32258064516129;0,489052186142167;0,873847911476309;0,666666666666667;0,423804648378383;1;0,5;0,8125;0,571428571428572;0,764705882352941;0,571428571428571;0,5;0,533333333333333;0,333333333333333;0,166666666666667;0,291666666666667;0,65625
"bagFDA";0,666666666666667;0,25;0,446780384340352;0,843697714290865;0,666666666666667;0,594466074433736;1;0,5;0,75;0,5;0,75;0,5;0,5;0,5;0,333333333333333;0,166666666666667;0,333333333333333;0,625
"gamboost";0,791666666666667;0,482758620689655;0,578487156362747;0,928681382801945;0,666666666666667;0,138253504128902;0,371093369522698;0,5;0,9375;0,8;0,789473684210526;0,8;0,5;0,615384615384615;0,333333333333333;0,166666666666667;0,208333333333333;0,71875
"bstSm";0,75;0,470588235294118;0,532887197577331;0,902269590525467;0,666666666666667;0,26318212973805;0,683091398309609;0,75;0,75;0,6;0,857142857142857;0,6;0,75;0,666666666666667;0,333333333333333;0,25;0,416666666666667;0,75
"bstTree";0,625;0,129032258064516;0,405936384007944;0,812007071803998;0,666666666666667;0,746165119816273;1;0,375;0,75;0,428571428571429;0,705882352941177;0,428571428571429;0,375;0,4;0,333333333333333;0,125;0,291666666666667;0,5625
"gpls";0,75;0,4375;0,532887197577331;0,902269590525467;0,666666666666667;0,26318212973805;1;0,625;0,8125;0,625;0,8125;0,625;0,625;0,625;0,333333333333333;0,208333333333333;0,333333333333333;0,71875
"pls";0,75;0,4375;0,532887197577331;0,902269590525467;0,666666666666667;0,26318212973805;1;0,625;0,8125;0,625;0,8125;0,625;0,625;0,625;0,333333333333333;0,208333333333333;0,333333333333333;0,71875
"spls";0,708333333333333;0,363636363636364;0,489052186142167;0,873847911476309;0,666666666666667;0,423804648378383;1;0,625;0,75;0,555555555555555;0,8;0,555555555555556;0,625;0,588235294117647;0,333333333333333;0,208333333333333;0,375;0,6875
