"";"Accuracy";"Kappa";"AccuracyLower";"AccuracyUpper";"AccuracyNull";"AccuracyPValue";"McnemarPValue";"Sensitivity";"Specificity";"Pos Pred Value";"Neg Pred Value";"Precision";"Recall";"F1";"Prevalence";"Detection Rate";"Detection Prevalence";"Balanced Accuracy"
"svmRadial";0,875;0,689655172413793;0,676388641811167;0,973440685013751;0,666666666666667;0,0199000693412889;0,248213078989924;0,625;1;1;0,842105263157895;1;0,625;0,769230769230769;0,333333333333333;0,208333333333333;0,208333333333333;0,8125
"svmPoly";0,666666666666667;0;0,446780384340352;0,843697714290865;0,666666666666667;0,594466074433736;0,0133283287808176;0;1;NA;0,666666666666667;NA;0;NA;0,333333333333333;0;0;0,5
"svmLinear";0,666666666666667;0;0,446780384340352;0,843697714290865;0,666666666666667;0,594466074433736;0,0133283287808176;0;1;NA;0,666666666666667;NA;0;NA;0,333333333333333;0;0;0,5
"voomDLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"voomDQDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"voomNSC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLDA2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"sparseLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rpart";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"cforest";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rf";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AdaBag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"treebag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bagFDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gamboost";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstSm";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstTree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gpls";0,875;0,689655172413793;0,676388641811167;0,973440685013751;0,666666666666667;0,0199000693412889;0,248213078989924;0,625;1;1;0,842105263157895;1;0,625;0,769230769230769;0,333333333333333;0,208333333333333;0,208333333333333;0,8125
"pls";0,875;0,689655172413793;0,676388641811167;0,973440685013751;0,666666666666667;0,0199000693412889;0,248213078989924;0,625;1;1;0,842105263157895;1;0,625;0,769230769230769;0,333333333333333;0,208333333333333;0,208333333333333;0,8125
"spls";0,875;0,689655172413793;0,676388641811167;0,973440685013751;0,666666666666667;0,0199000693412889;0,248213078989924;0,625;1;1;0,842105263157895;1;0,625;0,769230769230769;0,333333333333333;0,208333333333333;0,208333333333333;0,8125
