"";"Accuracy";"Kappa";"AccuracyLower";"AccuracyUpper";"AccuracyNull";"AccuracyPValue";"McnemarPValue";"Sensitivity";"Specificity";"Pos Pred Value";"Neg Pred Value";"Precision";"Recall";"F1";"Prevalence";"Detection Rate";"Detection Prevalence";"Balanced Accuracy"
"svmRadial";0,791666666666667;0,516129032258065;0,578487156362747;0,928681382801945;0,666666666666667;0,138253504128902;1;0,625;0,875;0,714285714285714;0,823529411764706;0,714285714285714;0,625;0,666666666666667;0,333333333333333;0,208333333333333;0,291666666666667;0,75
"svmPoly";0,75;0,4;0,532887197577331;0,902269590525467;0,666666666666667;0,26318212973805;0,683091398309609;0,5;0,875;0,666666666666667;0,777777777777778;0,666666666666667;0,5;0,571428571428572;0,333333333333333;0,166666666666667;0,25;0,6875
"svmLinear";0,708333333333333;0,32258064516129;0,489052186142167;0,873847911476309;0,666666666666667;0,423804648378383;1;0,5;0,8125;0,571428571428572;0,764705882352941;0,571428571428571;0,5;0,533333333333333;0,333333333333333;0,166666666666667;0,291666666666667;0,65625
"voomDLDA";0,833333333333333;0,625;0,626158286511317;0,952646373392743;0,666666666666667;0,0593512142704935;1;0,75;0,875;0,75;0,875;0,75;0,75;0,75;0,333333333333333;0,25;0,333333333333333;0,8125
"voomDQDA";0,791666666666667;0,545454545454545;0,578487156362747;0,928681382801945;0,666666666666667;0,138253504128902;1;0,75;0,8125;0,666666666666667;0,866666666666667;0,666666666666667;0,75;0,705882352941177;0,333333333333333;0,25;0,375;0,78125
"voomNSC";0,75;0,526315789473684;0,532887197577331;0,902269590525467;0,666666666666667;0,26318212973805;0,0412268333371636;1;0,625;0,571428571428572;1;0,571428571428571;1;0,727272727272727;0,333333333333333;0,333333333333333;0,583333333333333;0,8125
"PLDA";0,75;0,5;0,532887197577331;0,902269590525467;0,666666666666667;0,26318212973805;0,220671361919847;0,875;0,6875;0,583333333333333;0,916666666666667;0,583333333333333;0,875;0,7;0,333333333333333;0,291666666666667;0,5;0,78125
"PLDA2";0,833333333333333;0,647058823529412;0,626158286511317;0,952646373392743;0,666666666666667;0,0593512142704935;0,617075077451974;0,875;0,8125;0,7;0,928571428571429;0,7;0,875;0,777777777777778;0,333333333333333;0,291666666666667;0,416666666666667;0,84375
"NBLDA";0,791666666666667;0,516129032258065;0,578487156362747;0,928681382801945;0,666666666666667;0,138253504128902;1;0,625;0,875;0,714285714285714;0,823529411764706;0,714285714285714;0,625;0,666666666666667;0,333333333333333;0,208333333333333;0,291666666666667;0,75
"sparseLDA";0,666666666666667;0;0,446780384340352;0,843697714290865;0,666666666666667;0,594466074433736;0,0133283287808176;0;1;NA;0,666666666666667;NA;0;NA;0,333333333333333;0;0;0,5
"rpart";0,75;0,357142857142857;0,532887197577331;0,902269590525467;0,666666666666667;0,26318212973805;0,220671361919847;0,375;0,9375;0,75;0,75;0,75;0,375;0,5;0,333333333333333;0,125;0,166666666666667;0,65625
"cforest";0,833333333333333;0,571428571428572;0,626158286511317;0,952646373392743;0,666666666666667;0,0593512142704935;0,133614402537715;0,5;1;1;0,8;1;0,5;0,666666666666667;0,333333333333333;0,166666666666667;0,166666666666667;0,75
"ctree";0,791666666666667;0,444444444444445;0,578487156362747;0,928681382801945;0,666666666666667;0,138253504128902;0,0736382701203028;0,375;1;1;0,761904761904762;1;0,375;0,545454545454545;0,333333333333333;0,125;0,125;0,6875
"rf";0,875;0,689655172413793;0,676388641811167;0,973440685013751;0,666666666666667;0,0199000693412889;0,248213078989924;0,625;1;1;0,842105263157895;1;0,625;0,769230769230769;0,333333333333333;0,208333333333333;0,208333333333333;0,8125
"AdaBag";0,791666666666667;0,482758620689655;0,578487156362747;0,928681382801945;0,666666666666667;0,138253504128902;0,371093369522698;0,5;0,9375;0,8;0,789473684210526;0,8;0,5;0,615384615384615;0,333333333333333;0,166666666666667;0,208333333333333;0,71875
"treebag";0,75;0,357142857142857;0,532887197577331;0,902269590525467;0,666666666666667;0,26318212973805;0,220671361919847;0,375;0,9375;0,75;0,75;0,75;0,375;0,5;0,333333333333333;0,125;0,166666666666667;0,65625
"bagFDA";0,791666666666667;0,444444444444445;0,578487156362747;0,928681382801945;0,666666666666667;0,138253504128902;0,0736382701203028;0,375;1;1;0,761904761904762;1;0,375;0,545454545454545;0,333333333333333;0,125;0,125;0,6875
"gamboost";0,791666666666667;0,482758620689655;0,578487156362747;0,928681382801945;0,666666666666667;0,138253504128902;0,371093369522698;0,5;0,9375;0,8;0,789473684210526;0,8;0,5;0,615384615384615;0,333333333333333;0,166666666666667;0,208333333333333;0,71875
"bstSm";0,833333333333333;0,6;0,626158286511317;0,952646373392743;0,666666666666667;0,0593512142704935;0,617075077451974;0,625;0,9375;0,833333333333333;0,833333333333333;0,833333333333333;0,625;0,714285714285714;0,333333333333333;0,208333333333333;0,25;0,78125
"bstTree";0,75;0,357142857142857;0,532887197577331;0,902269590525467;0,666666666666667;0,26318212973805;0,220671361919847;0,375;0,9375;0,75;0,75;0,75;0,375;0,5;0,333333333333333;0,125;0,166666666666667;0,65625
"gpls";0,875;0,689655172413793;0,676388641811167;0,973440685013751;0,666666666666667;0,0199000693412889;0,248213078989924;0,625;1;1;0,842105263157895;1;0,625;0,769230769230769;0,333333333333333;0,208333333333333;0,208333333333333;0,8125
"pls";0,833333333333333;0,6;0,626158286511317;0,952646373392743;0,666666666666667;0,0593512142704935;0,617075077451974;0,625;0,9375;0,833333333333333;0,833333333333333;0,833333333333333;0,625;0,714285714285714;0,333333333333333;0,208333333333333;0,25;0,78125
"spls";0,875;0,689655172413793;0,676388641811167;0,973440685013751;0,666666666666667;0,0199000693412889;0,248213078989924;0,625;1;1;0,842105263157895;1;0,625;0,769230769230769;0,333333333333333;0,208333333333333;0,208333333333333;0,8125
