"";"Accuracy";"Kappa";"AccuracyLower";"AccuracyUpper";"AccuracyNull";"AccuracyPValue";"McnemarPValue";"Sensitivity";"Specificity";"Pos Pred Value";"Neg Pred Value";"Precision";"Recall";"F1";"Prevalence";"Detection Rate";"Detection Prevalence";"Balanced Accuracy"
"svmRadial";0,875;0,647058823529412;0,676388641811167;0,973440685013751;0,75;0,11501837051954;1;0,666666666666667;0,944444444444444;0,8;0,894736842105263;0,8;0,666666666666667;0,727272727272727;0,25;0,166666666666667;0,208333333333333;0,805555555555556
"svmPoly";0,791666666666667;0,411764705882353;0,578487156362747;0,928681382801945;0,75;0,422155201823952;1;0,5;0,888888888888889;0,6;0,842105263157895;0,6;0,5;0,545454545454545;0,25;0,125;0,208333333333333;0,694444444444444
"svmLinear";0,791666666666667;0,333333333333333;0,578487156362747;0,928681382801945;0,75;0,422155201823952;0,371093369522698;0,333333333333333;0,944444444444444;0,666666666666667;0,809523809523809;0,666666666666667;0,333333333333333;0,444444444444444;0,25;0,0833333333333333;0,125;0,638888888888889
"voomDLDA";0,916666666666667;0,777777777777778;0,730027198442396;0,98974365871875;0,75;0,0398011873429489;1;0,833333333333333;0,944444444444444;0,833333333333333;0,944444444444445;0,833333333333333;0,833333333333333;0,833333333333333;0,25;0,208333333333333;0,25;0,888888888888889
"voomDQDA";0,875;0,647058823529412;0,676388641811167;0,973440685013751;0,75;0,11501837051954;1;0,666666666666667;0,944444444444444;0,8;0,894736842105263;0,8;0,666666666666667;0,727272727272727;0,25;0,166666666666667;0,208333333333333;0,805555555555556
"voomNSC";0,916666666666667;0,777777777777778;0,730027198442396;0,98974365871875;0,75;0,0398011873429489;1;0,833333333333333;0,944444444444444;0,833333333333333;0,944444444444445;0,833333333333333;0,833333333333333;0,833333333333333;0,25;0,208333333333333;0,25;0,888888888888889
"PLDA";0,916666666666667;0,777777777777778;0,730027198442396;0,98974365871875;0,75;0,0398011873429489;1;0,833333333333333;0,944444444444444;0,833333333333333;0,944444444444445;0,833333333333333;0,833333333333333;0,833333333333333;0,25;0,208333333333333;0,25;0,888888888888889
"PLDA2";0,958333333333333;0,894736842105263;0,788798316543027;0,99894564755453;0,75;0,00903052149798001;1;1;0,944444444444444;0,857142857142857;1;0,857142857142857;1;0,923076923076923;0,25;0,25;0,291666666666667;0,972222222222222
"NBLDA";0,875;0,647058823529412;0,676388641811167;0,973440685013751;0,75;0,11501837051954;1;0,666666666666667;0,944444444444444;0,8;0,894736842105263;0,8;0,666666666666667;0,727272727272727;0,25;0,166666666666667;0,208333333333333;0,805555555555556
"sparseLDA";0,75;0;0,532887197577331;0,902269590525467;0,75;0,607412338166295;0,0412268333371636;0;1;NA;0,75;NA;0;NA;0,25;0;0;0,5
"rpart";0,791666666666667;0,230769230769231;0,578487156362747;0,928681382801945;0,75;0,422155201823952;0,0736382701203028;0,166666666666667;1;1;0,782608695652174;1;0,166666666666667;0,285714285714286;0,25;0,0416666666666667;0,0416666666666667;0,583333333333333
"cforest";0,833333333333333;0,5;0,626158286511317;0,952646373392743;0,75;0,246648441078573;0,617075077451974;0,5;0,944444444444444;0,75;0,85;0,75;0,5;0,6;0,25;0,125;0,166666666666667;0,722222222222222
"ctree";0,791666666666667;0,411764705882353;0,578487156362747;0,928681382801945;0,75;0,422155201823952;1;0,5;0,888888888888889;0,6;0,842105263157895;0,6;0,5;0,545454545454545;0,25;0,125;0,208333333333333;0,694444444444444
"rf";0,833333333333333;0,428571428571429;0,626158286511317;0,952646373392743;0,75;0,246648441078573;0,133614402537715;0,333333333333333;1;1;0,818181818181818;1;0,333333333333333;0,5;0,25;0,0833333333333333;0,0833333333333333;0,666666666666667
"AdaBag";0,833333333333333;0,428571428571429;0,626158286511317;0,952646373392743;0,75;0,246648441078573;0,133614402537715;0,333333333333333;1;1;0,818181818181818;1;0,333333333333333;0,5;0,25;0,0833333333333333;0,0833333333333333;0,666666666666667
"treebag";0,833333333333333;0,428571428571429;0,626158286511317;0,952646373392743;0,75;0,246648441078573;0,133614402537715;0,333333333333333;1;1;0,818181818181818;1;0,333333333333333;0,5;0,25;0,0833333333333333;0,0833333333333333;0,666666666666667
"bagFDA";0,875;0,6;0,676388641811167;0,973440685013751;0,75;0,11501837051954;0,248213078989924;0,5;1;1;0,857142857142857;1;0,5;0,666666666666667;0,25;0,125;0,125;0,75
"gamboost";0,791666666666667;0,333333333333333;0,578487156362747;0,928681382801945;0,75;0,422155201823952;0,371093369522698;0,333333333333333;0,944444444444444;0,666666666666667;0,809523809523809;0,666666666666667;0,333333333333333;0,444444444444444;0,25;0,0833333333333333;0,125;0,638888888888889
"bstSm";0,833333333333333;0,5;0,626158286511317;0,952646373392743;0,75;0,246648441078573;0,617075077451974;0,5;0,944444444444444;0,75;0,85;0,75;0,5;0,6;0,25;0,125;0,166666666666667;0,722222222222222
"bstTree";0,791666666666667;0,230769230769231;0,578487156362747;0,928681382801945;0,75;0,422155201823952;0,0736382701203028;0,166666666666667;1;1;0,782608695652174;1;0,166666666666667;0,285714285714286;0,25;0,0416666666666667;0,0416666666666667;0,583333333333333
"gpls";0,791666666666667;0,230769230769231;0,578487156362747;0,928681382801945;0,75;0,422155201823952;0,0736382701203028;0,166666666666667;1;1;0,782608695652174;1;0,166666666666667;0,285714285714286;0,25;0,0416666666666667;0,0416666666666667;0,583333333333333
"pls";0,791666666666667;0,230769230769231;0,578487156362747;0,928681382801945;0,75;0,422155201823952;0,0736382701203028;0,166666666666667;1;1;0,782608695652174;1;0,166666666666667;0,285714285714286;0,25;0,0416666666666667;0,0416666666666667;0,583333333333333
"spls";0,791666666666667;0,333333333333333;0,578487156362747;0,928681382801945;0,75;0,422155201823952;0,371093369522698;0,333333333333333;0,944444444444444;0,666666666666667;0,809523809523809;0,666666666666667;0,333333333333333;0,444444444444444;0,25;0,0833333333333333;0,125;0,638888888888889
