"";"Accuracy";"Kappa";"AccuracyLower";"AccuracyUpper";"AccuracyNull";"AccuracyPValue";"McnemarPValue";"Sensitivity";"Specificity";"Pos Pred Value";"Neg Pred Value";"Precision";"Recall";"F1";"Prevalence";"Detection Rate";"Detection Prevalence";"Balanced Accuracy"
"svmRadial";0,791666666666667;0,545454545454545;0,578487156362747;0,928681382801945;0,625;0,0660646981312692;1;0,666666666666667;0,866666666666667;0,75;0,8125;0,75;0,666666666666667;0,705882352941177;0,375;0,25;0,333333333333333;0,766666666666667
"svmPoly";0,75;0,466666666666667;0,532887197577331;0,902269590525467;0,625;0,145325793892128;1;0,666666666666667;0,8;0,666666666666667;0,8;0,666666666666667;0,666666666666667;0,666666666666667;0,375;0,25;0,375;0,733333333333333
"svmLinear";0,625;0,217391304347826;0,405936384007944;0,812007071803998;0,625;0,589844664946385;1;0,555555555555556;0,666666666666667;0,5;0,714285714285714;0,5;0,555555555555556;0,526315789473684;0,375;0,208333333333333;0,416666666666667;0,611111111111111
"voomDLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"voomDQDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"voomNSC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLDA2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"sparseLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rpart";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"cforest";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rf";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AdaBag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"treebag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bagFDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gamboost";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstSm";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstTree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gpls";0,583333333333333;0,0697674418604651;0,366430645656363;0,778903094653321;0,625;0,739525847386663;0,751829634045849;0,333333333333333;0,733333333333333;0,428571428571429;0,647058823529412;0,428571428571429;0,333333333333333;0,375;0,375;0,125;0,291666666666667;0,533333333333333
"pls";0,583333333333333;0,0697674418604651;0,366430645656363;0,778903094653321;0,625;0,739525847386663;0,751829634045849;0,333333333333333;0,733333333333333;0,428571428571429;0,647058823529412;0,428571428571429;0,333333333333333;0,375;0,375;0,125;0,291666666666667;0,533333333333333
"spls";0,791666666666667;0,523809523809524;0,578487156362747;0,928681382801945;0,625;0,0660646981312692;0,371093369522698;0,555555555555556;0,933333333333333;0,833333333333333;0,777777777777778;0,833333333333333;0,555555555555556;0,666666666666667;0,375;0,208333333333333;0,25;0,744444444444444
