"";"Accuracy";"Kappa";"AccuracyLower";"AccuracyUpper";"AccuracyNull";"AccuracyPValue";"McnemarPValue";"Sensitivity";"Specificity";"Pos Pred Value";"Neg Pred Value";"Precision";"Recall";"F1";"Prevalence";"Detection Rate";"Detection Prevalence";"Balanced Accuracy"
"svmRadial";0,708333333333333;0,363636363636364;0,489052186142167;0,873847911476309;0,625;0,267614341637454;1;0,555555555555556;0,8;0,625;0,75;0,625;0,555555555555556;0,588235294117647;0,375;0,208333333333333;0,333333333333333;0,677777777777778
"svmPoly";0,708333333333333;0,3;0,489052186142167;0,873847911476309;0,625;0,267614341637454;0,130570018115737;0,333333333333333;0,933333333333333;0,75;0,7;0,75;0,333333333333333;0,461538461538462;0,375;0,125;0,166666666666667;0,633333333333333
"svmLinear";0,666666666666667;0,288888888888889;0,446780384340352;0,843697714290865;0,625;0,423532240012743;1;0,555555555555556;0,733333333333333;0,555555555555556;0,733333333333333;0,555555555555556;0,555555555555556;0,555555555555556;0,375;0,208333333333333;0,375;0,644444444444444
"voomDLDA";0,75;0,466666666666667;0,532887197577331;0,902269590525467;0,625;0,145325793892128;1;0,666666666666667;0,8;0,666666666666667;0,8;0,666666666666667;0,666666666666667;0,666666666666667;0,375;0,25;0,375;0,733333333333333
"voomDQDA";0,791666666666667;0,545454545454545;0,578487156362747;0,928681382801945;0,625;0,0660646981312692;1;0,666666666666667;0,866666666666667;0,75;0,8125;0,75;0,666666666666667;0,705882352941177;0,375;0,25;0,333333333333333;0,766666666666667
"voomNSC";0,666666666666667;0,319148936170213;0,446780384340352;0,843697714290865;0,625;0,423532240012743;0,723673609831763;0,666666666666667;0,666666666666667;0,545454545454545;0,769230769230769;0,545454545454545;0,666666666666667;0,6;0,375;0,25;0,458333333333333;0,666666666666667
"PLDA";0,625;0,0999999999999999;0,405936384007944;0,812007071803998;0,625;0,589844664946385;0,182422439451736;0,222222222222222;0,866666666666667;0,5;0,65;0,5;0,222222222222222;0,307692307692308;0,375;0,0833333333333333;0,166666666666667;0,544444444444445
"PLDA2";0,625;0,181818181818182;0,405936384007944;0,812007071803998;0,625;0,589844664946385;1;0,444444444444444;0,733333333333333;0,5;0,6875;0,5;0,444444444444444;0,470588235294118;0,375;0,166666666666667;0,333333333333333;0,588888888888889
"NBLDA";0,666666666666667;0,288888888888889;0,446780384340352;0,843697714290865;0,625;0,423532240012743;1;0,555555555555556;0,733333333333333;0,555555555555556;0,733333333333333;0,555555555555556;0,555555555555556;0,555555555555556;0,375;0,208333333333333;0,375;0,644444444444444
"sparseLDA";0,625;0;0,405936384007944;0,812007071803998;0,625;0,589844664946385;0,00766076113517949;0;1;NA;0,625;NA;0;NA;0,375;0;0;0,5
"rpart";0,75;0,384615384615385;0,532887197577331;0,902269590525467;0,625;0,145325793892128;0,0412268333371636;0,333333333333333;1;1;0,714285714285714;1;0,333333333333333;0,5;0,375;0,125;0,125;0,666666666666667
"cforest";0,708333333333333;0,3;0,489052186142167;0,873847911476309;0,625;0,267614341637454;0,130570018115737;0,333333333333333;0,933333333333333;0,75;0,7;0,75;0,333333333333333;0,461538461538462;0,375;0,125;0,166666666666667;0,633333333333333
"ctree";0,625;0,142857142857143;0,405936384007944;0,812007071803998;0,625;0,589844664946385;0,504985075093846;0,333333333333333;0,8;0,5;0,666666666666667;0,5;0,333333333333333;0,4;0,375;0,125;0,25;0,566666666666667
"rf";0,75;0,384615384615385;0,532887197577331;0,902269590525467;0,625;0,145325793892128;0,0412268333371636;0,333333333333333;1;1;0,714285714285714;1;0,333333333333333;0,5;0,375;0,125;0,125;0,666666666666667
